dataset,task_id,n,context_accuracy,context_margin_mean,context_entropy_mean
MNIST,0,3000,1.0,0.9738889710903168,0.05931827382838571
MNIST,1,3000,1.0,0.960701902270317,0.09110240890081828
MNIST,2,3000,1.0,0.9608094915946325,0.09386177014588608
MNIST,3,3000,1.0,0.9646293242176374,0.08705852090528542
MNIST,4,3000,1.0,0.967851948539416,0.07868710208565635
FashionMNIST,0,3000,1.0,1.0,1.6096169290090823e-36
FashionMNIST,1,3000,1.0,1.0,9.318954797619337e-41
FashionMNIST,2,3000,0.6,0.9998545255263647,0.0005646179476891288
FashionMNIST,3,3000,1.0,0.9993733785947164,0.0014244115047635775
FashionMNIST,4,3000,1.0,1.0,2.799684017315753e-23
PermutedMNIST,0,3000,1.0,0.9999998518625896,1.472512910632616e-06
PermutedMNIST,1,3000,1.0,0.9999997954765956,1.61261085420998e-06
PermutedMNIST,2,3000,1.0,0.9999998346567154,1.6083139577538013e-06
PermutedMNIST,3,3000,1.0,0.9999998042583466,1.8289988463810622e-06
PermutedMNIST,4,3000,1.0,0.9999997201363245,2.4878013915544616e-06
RotatedMNIST,0,3000,1.0,0.9872318127155304,0.030408821442420953
RotatedMNIST,1,3000,1.0,0.979308876812458,0.05063063057676709
RotatedMNIST,2,3000,1.0,0.9764840431412061,0.05745179024116963
RotatedMNIST,3,3000,1.0,0.9762889176607132,0.05917148771051623
RotatedMNIST,4,3000,1.0,0.9764045000871022,0.05958822068011288
SplitCIFAR10,0,3000,1.0,0.9939319316546122,0.01574743018244528
SplitCIFAR10,1,3000,1.0,0.9917163849473,0.02295171322421446
SplitCIFAR10,2,3000,1.0,0.9942873012622198,0.016106613181707256
SplitCIFAR10,3,3000,1.0,0.9959721897641818,0.01251268403767304
SplitCIFAR10,4,3000,1.0,0.9972704758445422,0.008585370619635787
SplitCIFAR100,0,3750,0.5285333333333333,0.8668713729466667,0.15129891267621157
SplitCIFAR100,1,3750,0.8736,0.8991054566373333,0.13858619493327254
SplitCIFAR100,2,3750,1.0,0.9992174327626667,0.002342060673152821
SplitCIFAR100,3,3750,0.9461333333333334,0.8734541394586667,0.15575017368540006
SplitCIFAR100,4,3750,1.0,0.99660990768,0.00795637893361001
SplitCIFAR100,5,3750,1.0,0.9999990625733334,5.857447716088799e-06
SplitCIFAR100,6,3750,0.9810666666666666,0.9182542937674666,0.07769702541473243
SplitCIFAR100,7,3750,1.0,0.9999565565706667,0.00021744056297548777
SplitCIFAR100,8,3750,1.0,0.9999999171066667,6.855117790416226e-07
SplitCIFAR100,9,3750,1.0,0.999997650576,1.482236024578235e-05
CORe50,0,7500,0.0,0.9606956703225772,0.03814047294652744
CORe50,1,7500,0.0,1.0,1.2827443240921041e-33
CORe50,2,7500,0.6646666666666666,0.9870775801340739,0.01528107681410507
CORe50,3,7500,0.6598666666666667,0.9842741060098013,0.01964490998836794
CORe50,4,7500,0.7805333333333333,0.9445861738999685,0.06047071874614529
CORe50,5,7500,1.0,0.9906533800562223,0.008339632921643985
CORe50,6,7500,1.0,1.0,0.0
CORe50,7,7500,1.0,1.0,0.0
CORe50,8,7500,1.0,0.9999997618198395,1.4961434079230056e-06
CORe50,9,7500,1.0,1.0,0.0
